OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Automotive,2004,OK,ERNEST,ISTOOK,5,ERNEST J ISTOOK,R,143275,0.140452605,1020095,1,180430,0.6606,Consumer Discretionary,,,,1,1023445,0.996726742,Mid-High,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Computers/Internet,2004,OR,DAVID,WU,1,DAVID WU,D,98750,0.085512495,1154802,1,203771,0.5751,Consumer Discretionary,Information Technology,,,1,2305135,0.500969358,Mid-High,High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Computers/Internet,2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,80850,0.070283996,1150333,0,135164,0.3815,Consumer Discretionary,Information Technology,,,0,2305135,0.499030642,Mid-High,Mid-High,6,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Forestry & Forest Products,2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,133200,0.115792557,1150333,0,135164,0.3815,Materials,,,,0,2305135,0.499030642,Mid-High,Mid-High,4,18,Materials,994.347645,Values0506b,0.30380417,2004
Food & Beverage,2004,OR,DAVID,WU,1,DAVID WU,D,35950,0.031130878,1154802,1,203771,0.5751,Consumer Staples,,,,1,2305135,0.500969358,Mid-High,High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,OR,DAVID,WU,1,DAVID WU,D,145585,0.126069231,1154802,1,203771,0.5751,Financials,,,,1,2305135,0.500969358,Mid-High,High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Construction Services,2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,62700,0.054505956,1150333,0,135164,0.3815,Industrials,,,,0,2305135,0.499030642,Mid-High,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Hospitals/Nursing Homes,2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,28000,0.024340778,1150333,0,135164,0.3815,Health Care,,,,0,2305135,0.499030642,Mid-High,Mid-High,8,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Oil & Gas,2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,27850,0.024210381,1150333,0,135164,0.3815,Energy,,,,0,2305135,0.499030642,Mid-High,Mid-High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Air Transport,2004,OR,DAVID,WU,1,DAVID WU,D,32750,0.02835984,1154802,1,203771,0.5751,Industrials,,,,1,2305135,0.500969358,Mid-High,High,8,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electronics Mfg & Services,2004,OR,DAVID,WU,1,DAVID WU,D,33250,0.028792815,1154802,1,203771,0.5751,Information Technology,Consumer Discretionary,,,1,2305135,0.500969358,Mid-High,High,7,17,Information Technology,1575.122081,Values0506b,0.175743829,2004
Misc Finance,2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,150129,0.130509166,1150333,0,135164,0.3815,Financials,,,,0,2305135,0.499030642,Mid-High,Mid-High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Hospitals/Nursing Homes,2004,OR,DAVID,WU,1,DAVID WU,D,53500,0.046328288,1154802,1,203771,0.5751,Health Care,,,,1,2305135,0.500969358,Mid-High,High,5,15,Health Care,1854.677021,Values0506b,0.208390015,2004
"Beer, Wine & Liquor",2004,OR,GOLI,AMERI,1,GOLI YAZDI AMERI,R,112241,0.097572616,1150333,0,135164,0.3815,Consumer Staples,,,,0,2305135,0.499030642,Mid-High,Mid-High,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Oil & Gas,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,27150,0.037288834,728100,1,248461,0.7163,Energy,,,,1,732157,0.994458839,Mid-Low,High,8,13,Energy,1348.010537,Values0506b,0.628528397,2004
Building Materials & Equipment,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,158996,0.218371103,728100,1,248461,0.7163,Materials,Industrials,,,1,732157,0.994458839,Mid-Low,High,1,18,Materials,994.347645,Values0506b,0.30380417,2004
Electric Utilities,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,48649,0.066816371,728100,1,248461,0.7163,Utilities,,,,1,732157,0.994458839,Mid-Low,High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Pharmaceuticals/Health Products,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,34200,0.04697157,728100,1,248461,0.7163,Health Care,,,,1,732157,0.994458839,Mid-Low,High,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Telephone Utilities,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,21000,0.028842192,728100,1,248461,0.7163,Telecommunication Services,,,,1,732157,0.994458839,Mid-Low,High,10,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Printing & Publishing,2004,OR,JOHN,MCCOLGAN,2,JOHN C MCCOLGAN,D,200,0.04929751,4057,0,88914,0.2563,Consumer Discretionary,Industrials,,,0,732157,0.005541161,Very Low,Mid-Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Finance,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,22800,0.03131438,728100,1,248461,0.7163,Financials,,,,1,732157,0.994458839,Mid-Low,High,9,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,OR,GREG,WALDEN,2,GREG WALDEN,R,86236,0.118439775,728100,1,248461,0.7163,Consumer Discretionary,,,,1,732157,0.994458839,Mid-Low,High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
"Beer, Wine & Liquor",2004,OR,GREG,WALDEN,2,GREG WALDEN,R,90728,0.124609257,728100,1,248461,0.7163,Consumer Staples,,,,1,732157,0.994458839,Mid-Low,High,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Air Transport,2004,OR,EARL,BLUMENAUER,3,EARL BLUMENAUER,D,44800,0.107670308,416085,1,245559,0.7086,Industrials,,,,1,416085,1,Very Low,High,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Finance,2004,OR,EARL,BLUMENAUER,3,EARL BLUMENAUER,D,20830,0.050061886,416085,1,245559,0.7086,Financials,,,,1,416085,1,Very Low,High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Casinos/Gambling,2004,OR,EARL,BLUMENAUER,3,EARL BLUMENAUER,D,50600,0.121609767,416085,1,245559,0.7086,Consumer Discretionary,,,,1,416085,1,Very Low,High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Accountants,2004,OR,JAMES,FELDKAMP,4,JAMES LEE FELDKAMP,R,33850,0.110894527,305245,0,140882,0.3758,Financials,,,,0,663180,0.460274737,Very Low,Mid-High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,OR,PETER,DEFAZIO,4,PETER DEFAZIO,D,7300,0.020394764,357935,1,228611,0.6098,Utilities,,,,1,663180,0.539725263,Very Low,High,4,20,Utilities,846.831177,Values0506b,0.387572063,2004
Business Services,2004,OR,PETER,DEFAZIO,4,PETER DEFAZIO,D,5500,0.015365918,357935,1,228611,0.6098,Consumer Discretionary,Industrials,,,1,663180,0.539725263,Very Low,High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,OR,JAMES,FELDKAMP,4,JAMES LEE FELDKAMP,R,24800,0.081246212,305245,0,140882,0.3758,Consumer Staples,,,,0,663180,0.460274737,Very Low,Mid-High,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Air Transport,2004,OR,PETER,DEFAZIO,4,PETER DEFAZIO,D,54310,0.15173146,357935,1,228611,0.6098,Industrials,,,,1,663180,0.539725263,Very Low,High,2,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Air Transport,2004,OR,JAMES,FELDKAMP,4,JAMES LEE FELDKAMP,R,5500,0.018018313,305245,0,140882,0.3758,Industrials,,,,0,663180,0.460274737,Very Low,Mid-High,8,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Hospitals/Nursing Homes,2004,OR,JAMES,FELDKAMP,4,JAMES LEE FELDKAMP,R,10000,0.032760569,305245,0,140882,0.3758,Health Care,,,,0,663180,0.460274737,Very Low,Mid-High,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Building Materials & Equipment,2004,OR,JAMES,FELDKAMP,4,JAMES LEE FELDKAMP,R,86400,0.283051319,305245,0,140882,0.3758,Materials,Industrials,,,0,663180,0.460274737,Very Low,Mid-High,2,18,Materials,994.347645,Values0506b,0.30380417,2004
Automotive,2004,OR,JAMES,FELDKAMP,4,JAMES LEE FELDKAMP,R,17325,0.056757686,305245,0,140882,0.3758,Consumer Discretionary,,,,0,663180,0.460274737,Very Low,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,21750,0.039311089,553279,0,154993,0.4433,Consumer Staples,,,,0,1599989,0.345801752,Mid-Low,Mid-High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Hospitals/Nursing Homes,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,8500,0.015362954,553279,0,154993,0.4433,Health Care,,,,0,1599989,0.345801752,Mid-Low,Mid-High,9,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Oil & Gas,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,13500,0.024399986,553279,0,154993,0.4433,Energy,,,,0,1599989,0.345801752,Mid-Low,Mid-High,8,13,Energy,1348.010537,Values0506b,0.628528397,2004
Computers/Internet,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,35150,0.063530335,553279,0,154993,0.4433,Consumer Discretionary,Information Technology,,,0,1599989,0.345801752,Mid-Low,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,51100,0.092358467,553279,0,154993,0.4433,Financials,,,,0,1599989,0.345801752,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Accountants,2004,OR,DARLENE,HOOLEY,5,DARLENE HOOLEY,D,257054,0.245582826,1046710,1,184833,0.5286,Financials,,,,1,1599989,0.654198248,Mid-High,Mid-High,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Building Materials & Equipment,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,92000,0.166281388,553279,0,154993,0.4433,Materials,Industrials,,,0,1599989,0.345801752,Mid-Low,Mid-High,3,18,Materials,994.347645,Values0506b,0.30380417,2004
Computers/Internet,2004,OR,DARLENE,HOOLEY,5,DARLENE HOOLEY,D,66750,0.063771245,1046710,1,184833,0.5286,Consumer Discretionary,Information Technology,,,1,1599989,0.654198248,Mid-High,Mid-High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Air Transport,2004,OR,JIM,ZUPANIC,5,JAMES D ZUPANIC,R,20250,0.036599979,553279,0,154993,0.4433,Industrials,,,,0,1599989,0.345801752,Mid-Low,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Finance,2004,OR,TERESA,KEANE,S,TERESA CATHERINE KEANE,I,800,0.158415842,5050,0,43053,0.0242,Financials,,,,0,3362934,0.001501665,Very Low,Very Low,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Computers/Internet,2004,OR,TERESA,KEANE,S,TERESA CATHERINE KEANE,I,500,0.099009901,5050,0,43053,0.0242,Consumer Discretionary,Information Technology,,,0,3362934,0.001501665,Very Low,Very Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,PA,ROBERT,BRADY,1,ROBERT A BRADY,D,9500,0.023009608,412871,1,214462,0.8627,Utilities,,,,1,412871,1,Very Low,High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Food & Beverage,2004,PA,ROBERT,BRADY,1,ROBERT A BRADY,D,5750,0.013926868,412871,1,214462,0.8627,Consumer Staples,,,,1,412871,1,Very Low,High,8,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Misc Business,2004,PA,ROBERT,BRADY,1,ROBERT A BRADY,D,11600,0.028095943,412871,1,214462,0.8627,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,412871,1,Very Low,High,4,18,Materials,994.347645,Values0506b,0.30380417,2004
Construction Services,2004,PA,ROBERT,BRADY,1,ROBERT A BRADY,D,35000,0.084772241,412871,1,214462,0.8627,Industrials,,,,1,412871,1,Very Low,High,3,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Securities & Investment,2004,PA,ROBERT,BRADY,1,ROBERT A BRADY,D,8250,0.019982028,412871,1,214462,0.8627,Financials,,,,1,412871,1,Very Low,High,7,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,PA,ROBERT,BRADY,1,ROBERT A BRADY,D,11400,0.02761153,412871,1,214462,0.8627,Consumer Discretionary,,,,1,412871,1,Very Low,High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Automotive,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,76872,0.165405412,464749,1,191967,0.9281,Consumer Discretionary,,,,1,464749,1,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,19681,0.04234759,464749,1,191967,0.9281,Utilities,,,,1,464749,1,Mid-Low,Mid-High,9,20,Utilities,846.831177,Values0506b,0.387572063,2004
Dairy,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,22000,0.04733738,464749,1,191967,0.9281,Consumer Staples,,,,1,464749,1,Mid-Low,Mid-High,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Hospitals/Nursing Homes,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,31250,0.067240597,464749,1,191967,0.9281,Health Care,,,,1,464749,1,Mid-Low,Mid-High,5,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Building Materials & Equipment,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,21250,0.045723606,464749,1,191967,0.9281,Materials,Industrials,,,1,464749,1,Mid-Low,Mid-High,8,18,Materials,994.347645,Values0506b,0.30380417,2004
Commercial Banks,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,49350,0.10618635,464749,1,191967,0.9281,Financials,,,,1,464749,1,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Air Transport,2004,PA,DON,SHERWOOD,10,DON SHERWOOD,R,26500,0.057020026,464749,1,191967,0.9281,Industrials,,,,1,464749,1,Mid-Low,Mid-High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,PA,PAUL,KANJORSKI,11,PAUL E KANJORSKI,D,10000,0.014029397,712789,1,171147,0.9441,Utilities,,,,1,712789,1,Mid-Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,PA,PAUL,KANJORSKI,11,PAUL E KANJORSKI,D,330718,0.463977418,712789,1,171147,0.9441,Financials,,,,1,712789,1,Mid-Low,Mid-High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Recreation/Live Entertainment,2004,PA,PAUL,KANJORSKI,11,PAUL E KANJORSKI,D,12500,0.017536746,712789,1,171147,0.9441,Consumer Discretionary,,,,1,712789,1,Mid-Low,Mid-High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Pharmaceuticals/Health Products,2004,PA,PAUL,KANJORSKI,11,PAUL E KANJORSKI,D,8000,0.011223518,712789,1,171147,0.9441,Health Care,,,,1,712789,1,Mid-Low,Mid-High,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Home Builders,2004,PA,PAUL,KANJORSKI,11,PAUL E KANJORSKI,D,11000,0.015432337,712789,1,171147,0.9441,Industrials,,,,1,712789,1,Mid-Low,Mid-High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Steel Production,2004,PA,JOHN,MURTHA,12,JOHN P MURTHA,D,47500,0.030505446,1557099,1,204504,0.999,Materials,,,,1,1557099,1,High,High,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Health Services/HMOs,2004,PA,JOHN,MURTHA,12,JOHN P MURTHA,D,174150,0.1118426,1557099,1,204504,0.999,Health Care,,,,1,1557099,1,High,High,5,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Business Services,2004,PA,JOHN,MURTHA,12,JOHN P MURTHA,D,222000,0.142572823,1557099,1,204504,0.999,Consumer Discretionary,Industrials,,,1,1557099,1,High,High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Securities & Investment,2004,PA,JOHN,MURTHA,12,JOHN P MURTHA,D,45000,0.028899897,1557099,1,204504,0.999,Financials,,,,1,1557099,1,High,High,8,14,Financials,5555.739999,Values0506b,0.351064506,2004
Construction Services,2004,PA,JOHN,MURTHA,12,JOHN P MURTHA,D,420750,0.270214033,1557099,1,204504,0.999,Industrials,,,,1,1557099,1,High,High,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,PA,JOHN,MURTHA,12,JOHN P MURTHA,D,51999,0.033394794,1557099,1,204504,0.999,Utilities,,,,1,1557099,1,High,High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Hospitals/Nursing Homes,2004,PA,MELISSA,BROWN,13,MELISSA BROWN,R,100271,0.091636881,1094221,0,127205,0.4128,Health Care,,,,0,3790138,0.288702153,Mid-High,Mid-Low,4,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Accountants,2004,PA,MELISSA,BROWN,13,MELISSA BROWN,R,106050,0.096918264,1094221,0,127205,0.4128,Financials,,,,0,3790138,0.288702153,Mid-High,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Food & Beverage,2004,PA,MELISSA,BROWN,13,MELISSA BROWN,R,21079,0.019263933,1094221,0,127205,0.4128,Consumer Staples,,,,0,3790138,0.288702153,Mid-High,Mid-Low,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Automotive,2004,PA,MELISSA,BROWN,13,MELISSA BROWN,R,32500,0.029701495,1094221,0,127205,0.4128,Consumer Discretionary,,,,0,3790138,0.288702153,Mid-High,Mid-Low,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Home Builders,2004,PA,MELISSA,BROWN,13,MELISSA BROWN,R,20250,0.018506316,1094221,0,127205,0.4128,Industrials,,,,0,3790138,0.288702153,Mid-High,Mid-Low,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,PA,MELISSA,BROWN,13,MELISSA BROWN,R,19750,0.01804937,1094221,0,127205,0.4128,Energy,,,,0,3790138,0.288702153,Mid-High,Mid-Low,8,13,Energy,1348.010537,Values0506b,0.628528397,2004
Electric Utilities,2004,PA,MIKE,DOYLE,14,MIKE DOYLE,D,45932,0.105814109,434082,1,220139,0.9993,Utilities,,,,1,434082,1,Mid-Low,High,4,20,Utilities,846.831177,Values0506b,0.387572063,2004
Insurance,2004,PA,MIKE,DOYLE,14,MIKE DOYLE,D,32500,0.074870647,434082,1,220139,0.9993,Financials,,,,1,434082,1,Mid-Low,High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,PA,MIKE,DOYLE,14,MIKE DOYLE,D,67490,0.155477537,434082,1,220139,0.9993,Consumer Discretionary,,,,1,434082,1,Mid-Low,High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Construction Services,2004,PA,MIKE,DOYLE,14,MIKE DOYLE,D,10500,0.024188978,434082,1,220139,0.9993,Industrials,,,,1,434082,1,Mid-Low,High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Telecom Services & Equipment,2004,PA,MIKE,DOYLE,14,MIKE DOYLE,D,8733,0.020118319,434082,1,220139,0.9993,Telecommunication Services,,,,1,434082,1,Mid-Low,High,7,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Hospitals/Nursing Homes,2004,PA,MIKE,DOYLE,14,MIKE DOYLE,D,7500,0.017277842,434082,1,220139,0.9993,Health Care,,,,1,434082,1,Mid-Low,High,8,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Misc Finance,2004,PA,JOSEPH,DRISCOLL,15,JOSEPH EDWARD DRISCOLL,D,260925,0.224545101,1162016,0,114646,0.3938,Financials,,,,0,2640575,0.440061729,Mid-High,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,PA,CHARLIE,DENT,15,CHARLIE DENT,R,138456,0.093642526,1478559,0,170634,0.5861,Consumer Discretionary,,,,1,2640575,0.559938271,High,Mid-High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,PA,CHARLIE,DENT,15,CHARLIE DENT,R,32000,0.021642694,1478559,0,170634,0.5861,Utilities,,,,1,2640575,0.559938271,High,Mid-High,8,20,Utilities,846.831177,Values0506b,0.387572063,2004
Building Materials & Equipment,2004,PA,CHARLIE,DENT,15,CHARLIE DENT,R,81065,0.054827031,1478559,0,170634,0.5861,Materials,Industrials,,,1,2640575,0.559938271,High,Mid-High,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Oil & Gas,2004,PA,CHARLIE,DENT,15,CHARLIE DENT,R,52843,0.035739527,1478559,0,170634,0.5861,Energy,,,,1,2640575,0.559938271,High,Mid-High,6,13,Energy,1348.010537,Values0506b,0.628528397,2004
Misc Business,2004,PA,JOSEPH,DRISCOLL,15,JOSEPH EDWARD DRISCOLL,D,30700,0.026419602,1162016,0,114646,0.3938,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,2640575,0.440061729,Mid-High,Mid-Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Business Services,2004,PA,JOSEPH,DRISCOLL,15,JOSEPH EDWARD DRISCOLL,D,135900,0.116951918,1162016,0,114646,0.3938,Consumer Discretionary,Industrials,,,0,2640575,0.440061729,Mid-High,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Home Builders,2004,PA,CHARLIE,DENT,15,CHARLIE DENT,R,32580,0.022034968,1478559,0,170634,0.5861,Industrials,,,,1,2640575,0.559938271,High,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,PA,CHARLIE,DENT,15,CHARLIE DENT,R,266382,0.180163254,1478559,0,170634,0.5861,Financials,,,,1,2640575,0.559938271,High,Mid-High,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Retail Sales,2004,PA,JOE,PITTS,16,JOE PITTS,R,29701,0.086977275,341480,1,183620,0.6436,Consumer Discretionary,,,,1,371170,0.920009699,Very Low,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Agricultural Services/Products,2004,PA,JOE,PITTS,16,JOE PITTS,R,55750,0.163259927,341480,1,183620,0.6436,Consumer Staples,,,,1,371170,0.920009699,Very Low,Mid-High,3,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Hospitals/Nursing Homes,2004,PA,JOE,PITTS,16,JOE PITTS,R,51249,0.150079068,341480,1,183620,0.6436,Health Care,,,,1,371170,0.920009699,Very Low,Mid-High,4,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Telecom Services & Equipment,2004,PA,LOIS,HERR,16,LOIS K HERR,D,250,0.008420344,29690,0,98410,0.3449,Telecommunication Services,,,,0,371170,0.079990301,Very Low,Mid-Low,10,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Building Materials & Equipment,2004,PA,JOE,PITTS,16,JOE PITTS,R,7000,0.020499004,341480,1,183620,0.6436,Materials,Industrials,,,1,371170,0.920009699,Very Low,Mid-High,9,18,Materials,994.347645,Values0506b,0.30380417,2004
Construction Services,2004,PA,LOIS,HERR,16,LOIS K HERR,D,1000,0.033681374,29690,0,98410,0.3449,Industrials,,,,0,371170,0.079990301,Very Low,Mid-Low,8,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Food & Beverage,2004,PA,LOIS,HERR,16,LOIS K HERR,D,300,0.010104412,29690,0,98410,0.3449,Consumer Staples,,,,0,371170,0.079990301,Very Low,Mid-Low,9,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,PA,JOE,PITTS,16,JOE PITTS,R,16244,0.047569404,341480,1,183620,0.6436,Utilities,,,,1,371170,0.920009699,Very Low,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Misc Energy,2004,PA,LOIS,HERR,16,LOIS K HERR,D,2000,0.067362748,29690,0,98410,0.3449,Energy,,,,0,371170,0.079990301,Very Low,Mid-Low,4,13,Energy,1348.010537,Values0506b,0.628528397,2004
Misc Business,2004,PA,LOIS,HERR,16,LOIS K HERR,D,2000,0.067362748,29690,0,98410,0.3449,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,371170,0.079990301,Very Low,Mid-Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
